index,Drug_Name,Reason,Description,Description_Length
288,allerdest m tablet 10'sallerdest 5mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
289,allerfex 120mg tablet 10'sallerfex 180mg tablet 10's,Allergies,skin care for allergy,4
290,allerfex m tablet 10's,Allergies,â improve the appearance of fine lines,7
291,allergin 10mg tablet 10's,Allergies,relief from allergy,3
292,allerhin l syrup 60ml,Allergies,releief from all type of allergies,6
293,allerkast 10/5mg syrup 30mlallerkast 10/5mg tablet 10's,Allergies,relief from allergy,3
294,allerkast lc 10/5mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
295,allerknot l tablet 10's,Allergies,skin care for allergy,4
296,allermax tablet 10's,Allergies,good for allergic skin,4
297,allermax plus tablet 10's,Allergies,itching can be soothen,4
298,allerone 5mg tablet 10's,Allergies,relief from itching,3
299,allerzine 10mg tablet 10'sallerzine 5mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
300,allerzine l 5mg tablet 10's,Allergies,skin care for allergy,4
301,allrite 5mg tablet 10'sallrite capsule 10's,Allergies,â improve the appearance of fine lines,7
302,allrite m tablet 10's,Allergies,relief from allergy,3
303,allset tablet 10's,Allergies,releief from all type of allergies,6
304,alocet syrup 60mlalocet 5mg tablet 10's,Allergies,relief from allergy,3
305,alocet m tablet 10'salocet m suspension 60ml,Allergies,soothens allergies and good for all types of skin,9
306,alocet xl tablet 10's,Allergies,skin care for allergy,4
307,alovent 5mg tablet 10's,Allergies,good for allergic skin,4
308,alsium tablet 15's,Allergies,itching can be soothen,4
309,alt fm 10/120mg tablet 10's,Allergies,relief from itching,3
310,altiva 120mg tablet 10'saltiva 30mg tablet 10'saltiva 180mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
311,alvizine m tablet 10's,Allergies,skin care for allergy,4
312,alzene 5mg tablet 10's,Allergies,â improve the appearance of fine lines,7
313,alzero 5mg tablet 10's,Allergies,relief from allergy,3
314,alzero d tablet 10's,Allergies,releief from all type of allergies,6
315,alzero m syrup 60mlalzero m 4/2.5mg tablet 10's,Allergies,relief from allergy,3
316,alzine syrup 60ml,Allergies,treat acne which often refer to as pimples or spots,10
317,amicet tablet 10's,Allergies,good for allergic skin,4
318,ancer lm syrup 60mlancer lm tablet 10's,Allergies,itching can be soothen,4
319,angelskin ac lotion 100ml,Allergies,relief from itching,3
320,anticet 5mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
321,argella tablet 10's,Allergies,skin care for allergy,4
322,argella m tablet 10's,Allergies,â improve the appearance of fine lines,7
323,arokast fx tablet 10's,Allergies,relief from allergy,3
324,ascoril flu drops 15ml,Allergies,releief from all type of allergies,6
325,asthamon l tablet 10's,Allergies,relief from allergy,3
326,avercet m tablet 10's,Allergies,soothens allergies and good for all types of skin,9
327,averzine 25mg tablet 15's,Allergies,skin care for allergy,4
328,avil 22.5mg injection 10x2mlavil 25mg tablet 15'savil 25mg injection 2mlavil 25mg expectorant 100mlavil injection 10x2mlavil 22.7mg injection 10mlavil 50mg tablet 15's,Allergies,good for allergic skin,4
329,avil nu tablet 10's,Allergies,itching can be soothen,4
330,avinorm tablet 10's,Allergies,relief from itching,3
331,awayke 10mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
332,axaria 25mg tablet 10'saxaria 10mg tablet 10's,Allergies,skin care for allergy,4
333,azfex m tablet 10's,Allergies,â improve the appearance of fine lines,7
334,beltas 20mg tablet 10's,Allergies,relief from allergy,3
335,benadryl cough formula syrup 450ml,Allergies,releief from all type of allergies,6
336,benelix syrup 60ml,Allergies,relief from allergy,3
337,bepomac 10mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
338,bepozal tablet 10's,Allergies,skin care for allergy,4
339,betawin lc 5mg tablet 10's,Allergies,good for allergic skin,4
340,betni 4mg injection 1ml,Allergies,itching can be soothen,4
341,betonix 10mg tablet 10's,Allergies,relief from itching,3
342,bilagra 20mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
343,bilanair 20mg tablet 10's,Allergies,skin care for allergy,4
344,bilanix tablet 10's,Allergies,â improve the appearance of fine lines,7
345,bilanta 20mg tablet 10's,Allergies,relief from allergy,3
346,bilastero 20mg tablet 10's,Allergies,releief from all type of allergies,6
347,bilasure 20mg tablet 10's,Allergies,relief from allergy,3
348,bilazap 20mg tablet 10's,Allergies,treat acne which often refer to as pimples or spots,10
349,bilazest 20mg tablet 10's,Allergies,good for allergic skin,4
350,bilazo tablet 10's,Allergies,itching can be soothen,4
351,billargic 20mg tablet 10's,Allergies,relief from itching,3
352,borox m 10/5mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
353,breathezy l tablet 10's,Allergies,skin care for allergy,4
354,breaze l tablet 10's,Allergies,â improve the appearance of fine lines,7
355,breaze l kid tablet 10's,Allergies,relief from allergy,3
356,briocold 4/2.5mg suspension 30ml,Allergies,releief from all type of allergies,6
357,bronkolast l 4/2.5mg tablet 10's,Allergies,relief from allergy,3
358,brunda m 10/5mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
359,byellergy 10mg tablet 10's,Allergies,skin care for allergy,4
360,byloza 20mg tablet 10's,Allergies,good for allergic skin,4
361,cadistin 4mg tablet 1000's,Allergies,itching can be soothen,4
362,calagy lotion 100ml,Allergies,relief from itching,3
363,calciluvin syrup 100ml,Allergies,soothens allergies and good for all types of skin,9
364,centiluk 10/5mg tablet 10'scentiluk 4/2.5mg syrup 60ml,Allergies,skin care for allergy,4
365,cepiam tr 8mg capsule 10's,Allergies,â improve the appearance of fine lines,7
366,ceriz syrup 60ml,Allergies,relief from allergy,3
367,ceriz l mont 10/5mg tablet 10's,Allergies,releief from all type of allergies,6
368,cerzin l syrup 30mlcerzin l 5mg tablet 10's,Allergies,relief from allergy,3
369,cetcip 10mg tablet 10'scetcip syrup 30ml,Allergies,soothens allergies and good for all types of skin,9
370,cetcip cold tablet 10's,Allergies,skin care for allergy,4
371,cetcip l 5mg tablet 10's,Allergies,good for allergic skin,4
372,cetemed tablet 10's,Allergies,itching can be soothen,4
373,ceteze syrup 30ml,Allergies,relief from itching,3
374,cetfast 10mg tablet 10'scetfast syrup 30ml,Allergies,soothens allergies and good for all types of skin,9
375,cetfast m oral suspension 60ml,Allergies,skin care for allergy,4
376,cetgel capsule 10's,Allergies,â improve the appearance of fine lines,7
377,ceticad 5mg suspension 30mlceticad 10mg tablet 10'sceticad 1mg syrup 60ml,Allergies,relief from allergy,3
378,cetimax 10mg tablet 10's,Allergies,releief from all type of allergies,6
379,cetimon 4/2.5mg tablet 10'scetimon 10/5mg tablet 10's,Allergies,relief from allergy,3
380,cetinam syrup 60mlcetinam 10mg tablet 10's,Allergies,treat acne which often refer to as pimples or spots,10
381,cetip tablet 10's,Allergies,good for allergic skin,4
382,cetip a tablet 10's,Allergies,itching can be soothen,4
383,cetiriz 10mg tablet 10'scetiriz syrup 60ml,Allergies,relief from itching,3
384,cetiriz g syrup 30ml,Allergies,soothens allergies and good for all types of skin,9
385,cetiriz l 5mg tablet 10's,Allergies,skin care for allergy,4
386,cetiz 10mg tablet 10'scetiz 5mg syrup 30ml,Allergies,â improve the appearance of fine lines,7
387,cetlergy 10mg tablet 10's,Allergies,relief from allergy,3
388,cetpil tablet 10's,Allergies,releief from all type of allergies,6
389,cetral 10mg tablet 10'scetral syrup 30ml,Allergies,relief from allergy,3
390,cetral o 10mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
391,cetramac tablet 10'scetramac 10mg syrup 60ml,Allergies,skin care for allergy,4
392,cetrezol 10mg tablet 10'scetrezol 5mg tablet 10'scetrezol l tablet 10's,Allergies,good for allergic skin,4
393,cetrezol l forte tablet 10's,Allergies,itching can be soothen,4
394,cetrid od 10mg tablet 10's,Allergies,relief from itching,3
395,cetrikaa 10mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
396,cetriliv tablet 10'scetriliv 5mg tablet 10's,Allergies,skin care for allergy,4
397,cetriliv m syrup 60mlcetriliv m 5/10mg tablet 10's,Allergies,â improve the appearance of fine lines,7
398,cetrinat syrup 60ml,Allergies,relief from allergy,3
399,cetrine tablet 10'scetrine syrup 60ml,Allergies,releief from all type of allergies,6
400,cetriplus syrup 60ml,Allergies,relief from allergy,3
401,cetriver 10mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
402,cetriwal 10mg tablet 10's,Allergies,skin care for allergy,4
403,cetrizet 10mg tablet 10'scetrizet 5mg tablet 10's,Allergies,good for allergic skin,4
404,cetrizine 10mg tablet 10'scetrizine 1mg syrup 30ml,Allergies,itching can be soothen,4
405,cetrizine (zydus cadila) 10mg tablet 10's,Allergies,relief from itching,3
406,cettop 10mg tablet 10's,Allergies,soothens allergies and good for all types of skin,9
407,cetze tablet 10's,Allergies,skin care for allergy,4
408,cetzine tablet 10's,Allergies,â improve the appearance of fine lines,7
409,cetzy 10mg tablet 10's,Allergies,relief from allergy,3
410,cezin tablet 10's,Allergies,releief from all type of allergies,6
411,cistin 5mg tablet 10'scistin 5mg syrup 60ml,Allergies,relief from allergy,3
412,cistin l 5mg tablet 10's,Allergies,treat acne which often refer to as pimples or spots,10
413,citicad 10mg tablet 10's,Allergies,good for allergic skin,4
414,citrito tablet 10's,Allergies,itching can be soothen,4
415,citzen 10mg tablet 10's,Allergies,relief from itching,3
416,ciz mt tablet 10's,Allergies,soothens allergies and good for all types of skin,9
417,clamist syrup 60mlclamist 1mg tablet 10's,Allergies,skin care for allergy,4
418,cnf syrup 60mlcnf tablet 10's,Allergies,â improve the appearance of fine lines,7
419,cnf+ tablet 10's,Allergies,relief from allergy,3
420,codylex plus tablet 10's,Allergies,releief from all type of allergies,6
421,coekastle tablet 10's,Allergies,relief from allergy,3
422,coekastle kid tablet 10's,Allergies,soothens allergies and good for all types of skin,9
423,cofryl syrup 60mlcofryl syrup 150ml,Allergies,skin care for allergy,4
424,cofryl og syrup 60mlcofryl og syrup 100ml,Allergies,good for allergic skin,4
425,admenta 5mg tablet 10'sadmenta 10mg tablet 10's,Alzheimer,"it is used for alzheimer's disease and other types of dementia, head trauma,",13
426,admenta md 5mg tablet 10'sadmenta md 10mg tablet 10's,Alzheimer,dementia reduction,2
427,admenta xr 14mg tablet 3'sadmenta xr 7mg tablet 3's,Alzheimer,reliefs trauma and pain,4
428,almantin tablet 10's,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
429,almerzil 5mg tablet 10'salmerzil 10mg tablet 10's,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
430,alzidoc 5mg tablet 10'salzidoc 10mg tablet 10's,Alzheimer,"it is used for alzheimer's disease and other types of dementia, head trauma,",13
431,alzil 10mg tablet 10'salzil 5mg tablet 10's,Alzheimer,dementia reduction,2
432,alzil m 10mg tablet 10'salzil m 5mg tablet 10's,Alzheimer,reliefs trauma and pain,4
433,alzil sr 11.5mg tablet 10'salzil sr 23mg tablet 10's,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
434,amazil 5mg tablet 10's,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
435,aricep sr 23mg tablet 10'saricep 10mg tablet 10'saricep 5mg tablet 10's,Alzheimer,"it is used for alzheimer's disease and other types of dementia, head trauma,",13
436,aricep m tablet 10's,Alzheimer,dementia reduction,2
437,benovat 45mg tablet 10's,Alzheimer,reliefs trauma and pain,4
438,bularid tablet 10's,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
439,ceham tablet 10'sceham syrup 60mlceham p tablet 10'sceham injection 4ml,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
440,ceham m tablet 10's,Alzheimer,"it is used for alzheimer's disease and other types of dementia, head trauma,",13
441,cerebrain 90mg tablet 10's,Alzheimer,dementia reduction,2
442,cereloid tablet 10's,Alzheimer,reliefs trauma and pain,4
443,cerevate 90mg tablet 10's,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
444,cholergol 30mg tablet 10's,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
445,cholinecad injection 2mlcholinecad 500mg tablet 10'scholinecad 250mg injection 2ml,Alzheimer,"it is used for alzheimer's disease and other types of dementia, head trauma,",13
446,citelec 250mg injection 2mlcitelec 1000mg tablet 10'scitelec 500mg tablet 10'scitelec 500mg syrup 60ml,Alzheimer,dementia reduction,2
447,citelec p 500/800mg tablet 10's,Alzheimer,reliefs trauma and pain,4
448,citibral 250mg injection 2ml,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
449,citico 500mg tablet 10's,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
450,citicon 500mg tablet 10's,Alzheimer,"it is used for alzheimer's disease and other types of dementia, head trauma,",13
451,citicon p 500/800mg tablet 10's,Alzheimer,dementia reduction,2
452,citiflo 500mg injection 2mlcitiflo 500mg tablet 10'scitiflo 500mg injection 4ml,Alzheimer,reliefs trauma and pain,4
453,citilin 500mg tablet 10'scitilin injection 2ml,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
454,citilin p tablet 10's,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
455,citimac injection 4mlcitimac 250mg injection 2mlcitimac 500mg tablet 10's,Alzheimer,"it is used for alzheimer's disease and other types of dementia, head trauma,",13
456,citimac p tablet 10's,Alzheimer,dementia reduction,2
457,citimet 500mg tablet 10's,Alzheimer,reliefs trauma and pain,4
458,citinerve 500mg tablet 10'scitinerve 1000mg tablet 10'scitinerve 250mg injection 2ml,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
459,citinerve p tablet 10's,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
460,citinova 500mg tablet 10'scitinova 250mg injection 2ml,Alzheimer,"it is used for alzheimer's disease and other types of dementia, head trauma,",13
461,citistar 500mg tablet 10'scitistar 750mg tablet 10'scitistar pm tablet 10's,Alzheimer,dementia reduction,2
462,citisure 500mg tablet 10'scitisure 250mg injection 2ml,Alzheimer,reliefs trauma and pain,4
463,citivas 500mg injection 1's,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
464,citizac 500mg tablet 10'scitizac 1000mg injection 4mlcitizac injection 2ml,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
465,citrok 250mg injection 2mlcitrok 500mg tablet 10's,Alzheimer,"it is used for alzheimer's disease and other types of dementia, head trauma,",13
466,clinaxon 500mg tablet 10'sclinaxon injection 2mlclinaxon 250mg injection 4ml,Alzheimer,dementia reduction,2
467,clinaxon od tablet 10's,Alzheimer,reliefs trauma and pain,4
468,clinaxon p tablet 10's,Alzheimer,â moderate to severe alzheimerâ€™s disease in adults,8
